referrer,views_total,views_unique
github.com,11238,5983
Google,4580,3509
agpt.co,3481,2098
chatgpt.com,937,537
Bing,527,295
aixploria.com,246,174
doubao.com,197,96
futurepedia.io,141,90
youtube.com,137,39
medium.com,131,65
