referrer,views_total,views_unique
github.com,9697,5241
Google,4205,3252
agpt.co,3001,1806
chatgpt.com,538,338
Bing,501,285
aixploria.com,203,145
futurepedia.io,173,112
doubao.com,142,63
t.co,127,99
DuckDuckGo,86,55
