referrer,views_total,views_unique
github.com,11487,5964
Google,4642,3590
agpt.co,3454,2044
chatgpt.com,871,480
Bing,511,279
doubao.com,220,97
aixploria.com,217,160
futurepedia.io,150,99
namu.wiki,126,73
youtube.com,125,39
