referrer,views_total,views_unique
github.com,9461,5242
Google,3988,3292
agpt.co,2946,1806
chatgpt.com,540,324
Bing,473,281
aixploria.com,192,139
futurepedia.io,173,108
t.co,127,100
doubao.com,115,54
DuckDuckGo,87,65
